model,mae,rmse,r2,mae_std,rmse_std,r2_std
Mean Rating Baseline,0.9904164350541065,1.1876156551767414,-0.014080107834175015,0.05851211810312636,0.04466951995000448,0.06459110513920542
Rule-Based Baseline,1.1644175824175826,1.4408112349830147,-0.4925696576685257,,,
Linear Regression,0.8823558469997478,1.125554444892545,0.08913618262993772,0.045989770345974304,0.08519893083462407,0.16820768380661008
Ridge Regression,0.8683523197127795,1.0874002207664495,0.14984273645275392,0.09734702344025839,0.11442199297146059,0.18539985843799173
Decision Tree Regressor,0.8702902586563729,1.0947662275143744,0.13828586128059017,0.12729358253469242,0.15067399210553153,0.23367190760126808
Random Forest Regressor,0.7765347930395295,0.9883001036278164,0.29773969979203696,0.09131489103584746,0.1256629277869912,0.16883973287369766
KNN Regressor,0.8808312330183304,1.09114938213735,0.14397025001570862,0.09322342254560995,0.0968554810853441,0.1760549180125092
