user_id,place_id,rating,form_version,study_frequency,main_study_purpose,usual_group_size,noise_tolerance,crowd_tolerance,wifi_importance,outlet_importance,table_capacity_importance,distance_tolerance,preferred_study_time,study_on_sundays,usual_group_size_raw,avg_session_spending_raw,avg_session_spending_numeric,avg_session_spending_open_ended,distance_tolerance_raw,distance_tolerance_unlimited,study_on_sundays_numeric,place_name,area,place_type,maps_url,noise_level,crowd_level,table_capacity,wifi_quality,power_outlet_availability,average_price,distance_to_binus_km,open_time,close_time,open_on_sundays,open_minutes,close_minutes,is_24_hours,closes_next_day,opening_duration_hours,noise_gap,crowd_gap,wifi_gap,outlet_gap,table_capacity_gap,price_gap,distance_gap,sunday_match,preferred_time_match
u12,26,2.0,b,4,Coding / laptop work,1,2,2,5,5,2,3.0,Afternoon,Yes,1,"75,000",75000.0,0,3,0,1.0,FÜTOPIA - Mall Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/dpGhcckKFX2UCR8aA?g_st=ac,3,3,4,2,3,50000,0.7,10:00,22:00,1,600,1320,0,0,12.0,1,1,-3,-2,3,-25000.0,-2.3,1.0,1.0
u12,30,2.0,b,4,Coding / laptop work,1,2,2,5,5,2,3.0,Afternoon,Yes,1,"75,000",75000.0,0,3,0,1.0,Mixue Mall @ Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/ARBbM9LDWC7co3a37,3,3,4,1,2,20000,0.7,10:00,22:00,1,600,1320,0,0,12.0,1,1,-4,-3,3,-55000.0,-2.3,1.0,1.0
u13,1,5.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,LKC Discussion Room,BINUS Alam Sutera,Campus Space,https://maps.app.goo.gl/CRkRgCxV6U5izVxt5,1,1,8,3,5,0,0.0,09:00,17:00,0,540,1020,0,0,8.0,-3,-3,0,2,2,-75000.0,-7.0,1.0,1.0
u13,3,4.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,McDonald's Downtown Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/AgJAKPBdUYqTKXSR6,4,3,4,4,3,60000,1.3,00:00,23:59,1,0,1439,1,0,24.0,0,-1,1,0,-2,-15000.0,-5.7,0.0,1.0
u13,20,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Starbucks DT Pacific Garden Alam Sutera,Alam Sutera,Cafe,https://maps.app.goo.gl/SU1XB2nxLQsGJuN6A,2,3,3,5,5,75000,0.3,07:00,22:00,1,420,1320,0,0,15.0,-2,-1,2,2,-3,0.0,-6.7,0.0,1.0
u13,35,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Two Stories Resto & Lounge,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/FTQGbdiW11xiM9qK9,3,3,4,3,4,150000,2.2,10:00,23:59,1,600,1439,0,0,13.983333333333333,-1,-1,0,1,-2,75000.0,-4.8,0.0,1.0
u13,10,5.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,IKEA Restaurant Alam Sutera,Alam Sutera,Restaurant / Fast Food,https://maps.app.goo.gl/F5zXK9v3wiAnuPmaA,4,3,4,4,4,75000,1.6,10:00,21:30,1,600,1290,0,0,11.5,0,-1,1,1,-2,0.0,-5.4,0.0,1.0
u13,8,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Kopi Nako BSD,BSD,Cafe,https://maps.app.goo.gl/Ao1G8nGwgsjMbugz5,4,5,4,5,5,60000,14.0,00:00,23:59,1,0,1439,1,0,24.0,0,1,2,2,-2,-15000.0,7.0,0.0,1.0
u13,13,3.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Valioso x Picco Gelato,Karawaci,Cafe,https://maps.app.goo.gl/PjcSkT9KHRU7ozjcA,2,2,4,5,5,70000,12.0,07:00,22:00,1,420,1320,0,0,15.0,-2,-2,2,2,-2,-5000.0,5.0,0.0,1.0
u13,14,5.0,c,5,Group assignment / discussion,6,4,4,3,3,5,7.0,Afternoon,No,5-6,"75,000",75000.0,0,7,0,0.0,Kebon Kita Space | Coffee & Eatery Serpong Tangerang,Gading Serpong,Outdoor,https://maps.app.goo.gl/4FWShmZDoS92niv5A,3,2,6,3,4,70000,9.0,07:00,23:00,1,420,1380,0,0,16.0,-1,-2,0,1,0,-5000.0,2.0,0.0,1.0
