user_code,place_id,place_name,rating,form_version
u11,12,Pasar 8 Area Alam Sutera,1,a
u11,17,LKC General Area,2,a
u11,21,A-Ramen Pacific Garden,3,a
u11,36,Jakarta Coffee House Alam Sutera,5,a
u12,1,LKC Discussion Room,4,b
u12,3,McDonald's Downtown Alam Sutera,3,b
u12,20,Starbucks DT Pacific Garden Alam Sutera,5,b
u12,35,Two Stories Resto & Lounge,3,b
u12,10,IKEA Restaurant Alam Sutera,4,b
u12,5,Start Space Gading Serpong,3,b
u12,6,Lumino Cafe - Foresta BSD Tangerang,2,b
u12,9,Titik Koma Gading Serpong,3,b
u12,11,Bignose Coffee Shop,4,b
u12,22,Yoshinoya Binus Alam Sutera,2,b
u12,26,FÜTOPIA - Mall Alam Sutera,2,b
u12,30,Mixue Mall @ Alam Sutera,2,b
u13,1,LKC Discussion Room,5,c
u13,3,McDonald's Downtown Alam Sutera,4,c
u13,20,Starbucks DT Pacific Garden Alam Sutera,3,c
u13,35,Two Stories Resto & Lounge,3,c
u13,10,IKEA Restaurant Alam Sutera,5,c
u13,8,Kopi Nako BSD,3,c
u13,13,Valioso x Picco Gelato,3,c
u13,14,Kebon Kita Space | Coffee & Eatery Serpong Tangerang,5,c
u13,15,Hoque's Kitchen,4,c
u13,23,KFC Alam Sutera,4,c
u13,28,Coarse & Fine,3,c
u13,33,Coffee Melantjong,3,c
u14,1,LKC Discussion Room,3,d
u14,3,McDonald's Downtown Alam Sutera,4,d
u14,20,Starbucks DT Pacific Garden Alam Sutera,3,d
u14,35,Two Stories Resto & Lounge,1,d
u14,10,IKEA Restaurant Alam Sutera,3,d
u14,16,Kafe Pedekar Alam Sutera,3,d
u14,18,ARAH Coffee Alam Sutera,5,d
u14,19,Good Friends Bistro & Cafe Alam Sutera,3,d
u14,24,1/15 Coffee Alam Sutera,3,d
u14,27,Solaria - Mall @ Alam Sutera,3,d
u14,34,Kopi Nako Alam Sutera,4,d
u14,39,Aruku Coffee and Studio Gading Serpong,2,d
u15,1,LKC Discussion Room,4,e
u15,3,McDonald's Downtown Alam Sutera,3,e
u15,20,Starbucks DT Pacific Garden Alam Sutera,5,e
u15,35,Two Stories Resto & Lounge,4,e
u15,10,IKEA Restaurant Alam Sutera,4,e
u15,25,"NOB Coffee & Eatery, The Grove Alam Sutera",4,e
u15,29,J.CO DONUTS & COFFEE - MALL ALAM SUTERA,3,e
u15,32,Platon Coffee,5,e
u15,37,Casabrew Coffee,4,e
u15,38,Niv Coffee,4,e
u15,40,Unspoken Coffee,4,e
u15,31,BINUS Alam Sutera Canteen,2,e
